Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,171.0,65.0,168.0,1,2,3,6,1,1,2,2,2,2,20,35,22.229061933586404,0.9824561403508771,1.3076923076923077,Bottom
1,172.0,61.0,180.0,1,7,4,6,8,2,2,1,3,4,35,14,20.61925365062196,1.0465116279069768,1.5737704918032787,Bottom
1,183.0,79.0,191.0,6,8,4,8,3,0,0,0,3,3,20,33,23.589835468362743,1.0437158469945356,1.2531645569620253,Top
1,162.0,56.0,162.0,1,4,3,7,1,0,0,0,1,1,12,35,21.338210638622158,1.0,1.2142857142857142,Bottom
1,182.0,83.0,196.0,9,13,4,8,12,0,0,0,3,3,80,50,25.057360222195385,1.0769230769230769,1.963855421686747,Top
0,178.0,64.0,179.0,1,5,3,6,0,0,0,0,3,1,9,10,20.199469763918696,1.0056179775280898,1.140625,Bottom
1,177.0,64.0,192.0,5,9,5,20,4,1,1,0,1,2,30,40,20.428357113217785,1.0847457627118644,1.46875,Top
0,162.5,61.0,168.0,4,8,4,7,8,1,1,3,3,6,12,40,23.100591715976332,1.0338461538461539,1.1967213114754098,Top
1,177.0,74.0,183.0,8,9,3,2,12,1,1,1,2,2,25,69,23.620287912158062,1.0338983050847457,1.337837837837838,Top
1,180.0,78.0,181.0,15,9,4,10,12,1,1,1,2,1,30,30,24.074074074074073,1.0055555555555555,1.3846153846153846,Top
1,180.0,82.0,180.0,3,5,1,2,0,0,0,0,0,0,10,30,25.30864197530864,1.0,1.1219512195121952,Bottom
1,174.0,75.0,178.0,3,4,3,3,4,0,0,1,2,1,12,45,24.772096710265558,1.0229885057471264,1.16,Bottom
1,180.0,70.0,183.0,8,10,4,11,5,0,0,2,1,2,28,35,21.604938271604937,1.0166666666666666,1.4,Top
1,173.0,64.0,186.0,11,11,7,14,8,2,1,1,3,8,37,80,21.383941996057334,1.0751445086705202,1.578125,Top
