sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,7,5,15.0,30.0,175.895,72.6654384,176.53
1,6,5,16.0,34.0,170.18,64.863656,172.72
1,0,4,4.0,5.0,168.91,74.389088,171.45
1,7,4,14.0,31.0,180.34,73.481904,186.69
1,10,6,19.0,33.0,181.61,79.3786,191.77
1,7,6,15.0,38.0,177.8,67.131616,177.8
1,10,6,26.0,42.0,167.64000000000000,58.96696,179.07
1,10,6,12.0,22.0,170.18,67.131616,185.42000000000000
1,0,6,6.0,10.0,180.975,87.996848,190.5
1,8,6,14.0,22.0,184.15,88.904032,189.23
0,1,6,0.0,11.0,165.1,67.131616,165.1
1,6,6,15.0,25.0,180.34,87.089664,187.96
1,4,3,20.0,70.0,182.88,74.84268,185.42000000000000
1,6,6,14.0,30.0,185.42000000000000,82.553744,184.15
0,8,3,14.0,14.0,170.18,52.16308,168.91
1,0,6,18.0,38.0,175.26,73.481904,411.48
1,0,5,9.0,20.0,177.8,78.017824,182.88
1,4,5,14.0,30.0,187.96,81.64656,185.42000000000000
1,9,3,13.0,21.0,193.04,89.811216,205.74
1,8,6,12.0,25.0,181.0004,71.13683336000000,184.9882
1,2,5,11.0,31.0,180.34,81.64656,180.34
0,0,6,10.0,16.0,165.1,67.131616,171.45
1,8,6,21.0,34.0,170.18,68.0388,167.64000000000000
1,0,3,7.0,13.0,178.81600000000000,71.667536,178.81600000000000
0,5,6,11.0,13.0,170.18,65.77084000000000,162.56
0,0,6,13.0,15.0,165.735,74.389088,175.26
1,6,2,20.0,40.0,187.96,81.64656,187.96
0,0,3,3.0,20.0,172.72,65.77084000000000,172.72
1,0,2,13.0,45.0,175.26,78.471416,181.61
0,4,2,7.0,20.0,158.75,53.977448,158.75
